event_name,Year,Season,City,Games
"Fencing Men's epee, Team",1906,Summer,Athina,1906 Summer
Diving Men's Synchronized Springboard,2012,Summer,London,2012 Summer
Judo Women's Half-Heavyweight,2016,Summer,Rio de Janeiro,2016 Summer
Athletics Men's 200 metres Hurdles,1904,Summer,St. Louis,1904 Summer
Athletics Women's Discus Throw,1964,Summer,Tokyo,1964 Summer
Boxing Men's Middleweight,1948,Summer,London,1948 Summer
"Equestrianism Mixed Dressage, Individual",1960,Summer,Roma,1960 Summer
Rowing Women's Coxless Pairs,1996,Summer,Atlanta,1996 Summer
Tennis Men's Doubles,1908,Summer,London,1908 Summer
"Canoeing Men's Kayak Singles, 1,000 metres",1956,Summer,Melbourne,1956 Summer
"Fencing Women's Foil, Individual",1956,Summer,Melbourne,1956 Summer
"Canoeing Women's Kayak Singles, Slalom",2012,Summer,London,2012 Summer
Weightlifting Women's Featherweight,2008,Summer,Beijing,2008 Summer
Athletics Men's Shot Put,1904,Summer,St. Louis,1904 Summer
Athletics Men's 56-pound Weight Throw,1904,Summer,St. Louis,1904 Summer
Athletics Men's Hammer Throw,1904,Summer,St. Louis,1904 Summer
Cycling Men's Sprint,1932,Summer,Los Angeles,1932 Summer
"Cycling Men's Tandem Sprint, 2,000 metres",1932,Summer,Los Angeles,1932 Summer
Cycling Men's Sprint,1936,Summer,Berlin,1936 Summer
Swimming Women's 400 metres Freestyle,1924,Summer,Paris,1924 Summer
Weightlifting Men's Flyweight,1972,Summer,Munich,1972 Summer
"Wrestling Men's Middleweight, Greco-Roman",1984,Summer,Los Angeles,1984 Summer
Badminton Women's Doubles,2016,Summer,Rio de Janeiro,2016 Summer
Equestrianism Mixed Four-In-Hand Competition,1900,Summer,Paris,1900 Summer
Weightlifting Men's Middleweight,1964,Summer,Tokyo,1964 Summer
Athletics Women's 800 metres,1960,Summer,Roma,1960 Summer
"Wrestling Men's Heavyweight, Freestyle",1928,Summer,Amsterdam,1928 Summer
"Canoeing Men's Canadian Doubles, 10,000 metres",1936,Summer,Berlin,1936 Summer
"Athletics Men's 2,500 metres Steeplechase",1900,Summer,Paris,1900 Summer
Judo Men's Extra-Lightweight,1984,Summer,Los Angeles,1984 Summer
Weightlifting Men's Featherweight,1952,Summer,Helsinki,1952 Summer
"Wrestling Men's Heavyweight, Greco-Roman",2004,Summer,Athina,2004 Summer
Weightlifting Women's Flyweight,2004,Summer,Athina,2004 Summer
Table Tennis Women's Singles,2012,Summer,London,2012 Summer
Table Tennis Women's Team,2016,Summer,Rio de Janeiro,2016 Summer
Weightlifting Women's Middleweight,2000,Summer,Sydney,2000 Summer
"Wrestling Men's Super-Heavyweight, Freestyle",2000,Summer,Sydney,2000 Summer
Rowing Women's Coxed Eights,2004,Summer,Athina,2004 Summer
Athletics Women's Shot Put,2000,Summer,Sydney,2000 Summer
"Canoeing Men's Kayak Singles, 500 metres",1988,Summer,Seoul,1988 Summer
Taekwondo Women's Featherweight,2012,Summer,London,2012 Summer
Trampolining Women's Individual,2004,Summer,Athina,2004 Summer
"Athletics Men's 3,000 metres Steeplechase",1948,Summer,London,1948 Summer
Athletics Men's 10 kilometres Walk,1948,Summer,London,1948 Summer
"Art Competitions Mixed Music, Unknown Event",1936,Summer,Berlin,1936 Summer
Weightlifting Men's Super-Heavyweight,2008,Summer,Beijing,2008 Summer
"Wrestling Men's Bantamweight, Greco-Roman",1952,Summer,Helsinki,1952 Summer
Weightlifting Women's Featherweight,2012,Summer,London,2012 Summer
Athletics Men's 50 kilometres Walk,1932,Summer,Los Angeles,1932 Summer
Weightlifting Men's Bantamweight,1980,Summer,Moskva,1980 Summer
"Wrestling Women's Middleweight, Freestyle",2012,Summer,London,2012 Summer
Athletics Men's 110 metres Hurdles,1900,Summer,Paris,1900 Summer
Athletics Men's 200 metres Hurdles,1900,Summer,Paris,1900 Summer
"Canoeing Women's Kayak Singles, Slalom",2016,Summer,Rio de Janeiro,2016 Summer
"Canoeing Men's Canadian Singles, 1,000 metres",1960,Summer,Roma,1960 Summer
"Cycling Men's 1,000 metres Time Trial",1932,Summer,Los Angeles,1932 Summer
"Wrestling Men's Middleweight, Greco-Roman",1924,Summer,Paris,1924 Summer
"Equestrianism Mixed Jumping, Individual",1980,Summer,Moskva,1980 Summer
Taekwondo Men's Heavyweight,2012,Summer,London,2012 Summer
Diving Women's Springboard,1952,Summer,Helsinki,1952 Summer
"Canoeing Men's Canadian Singles, Slalom",2012,Summer,London,2012 Summer
Cycling Women's Team Sprint,2012,Summer,London,2012 Summer
Athletics Men's High Jump,1896,Summer,Athina,1896 Summer
Athletics Men's Long Jump,1896,Summer,Athina,1896 Summer
Athletics Men's Shot Put,1896,Summer,Athina,1896 Summer
Athletics Men's All-Around Championship,1904,Summer,St. Louis,1904 Summer
Rowing Women's Coxless Pairs,1976,Summer,Montreal,1976 Summer
Athletics Women's 80 metres Hurdles,1932,Summer,Los Angeles,1932 Summer
Boxing Men's Welterweight,1920,Summer,Antwerpen,1920 Summer
Athletics Men's Pole Vault,1932,Summer,Los Angeles,1932 Summer
"Wrestling Men's Lightweight, Freestyle",1932,Summer,Los Angeles,1932 Summer
"Archery Men's Pole Archery, Small Birds, Individual",1920,Summer,Antwerpen,1920 Summer
"Archery Men's Pole Archery, Large Birds, Individual",1920,Summer,Antwerpen,1920 Summer
"Archery Men's Pole Archery, Small Birds, Team",1920,Summer,Antwerpen,1920 Summer
"Archery Men's Pole Archery, Large Birds, Team",1920,Summer,Antwerpen,1920 Summer
"Wrestling Men's Heavyweight, Greco-Roman",1936,Summer,Berlin,1936 Summer
"Canoeing Women's Kayak Singles, 500 metres",1956,Summer,Melbourne,1956 Summer
Trampolining Women's Individual,2000,Summer,Sydney,2000 Summer
Trampolining Women's Individual,2012,Summer,London,2012 Summer
"Wrestling Men's Middleweight, Greco-Roman",1936,Summer,Berlin,1936 Summer
"Athletics Men's 2,590 metres Steeplechase",1904,Summer,St. Louis,1904 Summer
Diving Women's Springboard,1932,Summer,Los Angeles,1932 Summer
Diving Women's Platform,1932,Summer,Los Angeles,1932 Summer
Art Competitions Mixed Sculpturing,1920,Summer,Antwerpen,1920 Summer
Art Competitions Mixed Architecture,1912,Summer,Stockholm,1912 Summer
"Canoeing Men's Kayak Singles, 1,000 metres",1968,Summer,Mexico City,1968 Summer
Diving Men's Synchronized Springboard,2008,Summer,Beijing,2008 Summer
Diving Men's Synchronized Platform,2004,Summer,Athina,2004 Summer
Boxing Men's Bantamweight,1908,Summer,London,1908 Summer
Athletics Men's Triple Jump,1896,Summer,Athina,1896 Summer
Athletics Men's Triple Jump,1900,Summer,Paris,1900 Summer
Athletics Men's Hammer Throw,1932,Summer,Los Angeles,1932 Summer
Archery Women's Double Columbia Round,1904,Summer,St. Louis,1904 Summer
Archery Women's Double National Round,1904,Summer,St. Louis,1904 Summer
Tennis Women's Singles,1900,Summer,Paris,1900 Summer
Tennis Mixed Doubles,1900,Summer,Paris,1900 Summer
Swimming Women's 100 metres Backstroke,1932,Summer,Los Angeles,1932 Summer
Athletics Men's Shot Put,1900,Summer,Paris,1900 Summer
"Canoeing Men's Kayak Doubles, 1,000 metres",1952,Summer,Helsinki,1952 Summer
"Athletics Men's 4 mile, Team",1904,Summer,St. Louis,1904 Summer
Weightlifting Women's Super-Heavyweight,2008,Summer,Beijing,2008 Summer
Boxing Men's Featherweight,1956,Summer,Melbourne,1956 Summer
Gymnastics Men's Individual All-Around,1920,Summer,Antwerpen,1920 Summer
"Wrestling Men's Bantamweight, Freestyle",1908,Summer,London,1908 Summer
"Art Competitions Mixed Music, Instrumental And Chamber",1948,Summer,London,1948 Summer
"Wrestling Men's Light-Heavyweight, Freestyle",1920,Summer,Antwerpen,1920 Summer
"Fencing Men's epee, Individual",1906,Summer,Athina,1906 Summer
"Wrestling Men's Bantamweight, Freestyle",1992,Summer,Barcelona,1992 Summer
"Wrestling Men's Super-Heavyweight, Greco-Roman",1972,Summer,Munich,1972 Summer
"Canoeing Men's Canadian Singles, 1,000 metres",1968,Summer,Mexico City,1968 Summer
Cycling Women's Sprint,2012,Summer,London,2012 Summer
Figure Skating Men's Special Figures,1908,Summer,London,1908 Summer
Diving Men's Platform,1932,Summer,Los Angeles,1932 Summer
"Wrestling Men's Light-Flyweight, Freestyle",1904,Summer,St. Louis,1904 Summer
Cycling Men's Points Race,1996,Summer,Atlanta,1996 Summer
"Wrestling Men's Heavyweight, Freestyle",1956,Summer,Melbourne,1956 Summer
Table Tennis Women's Team,2012,Summer,London,2012 Summer
"Shooting Men's Military Rifle, Standing, 300 metres",1920,Summer,Antwerpen,1920 Summer
"Wrestling Men's Welterweight, Greco-Roman",1932,Summer,Los Angeles,1932 Summer
"Wrestling Men's Lightweight, Greco-Roman",1948,Summer,London,1948 Summer
Athletics Men's Pole Vault,1896,Summer,Athina,1896 Summer
"Wrestling Men's Heavyweight, Freestyle",1924,Summer,Paris,1924 Summer
"Wrestling Men's Heavyweight, Greco-Roman",1992,Summer,Barcelona,1992 Summer
Athletics Men's 800 metres,1896,Summer,Athina,1896 Summer
"Art Competitions Mixed Painting, Graphic Arts",1932,Summer,Los Angeles,1932 Summer
Swimming Men's 50 yard Freestyle,1904,Summer,St. Louis,1904 Summer
Swimming Men's 100 yard Freestyle,1904,Summer,St. Louis,1904 Summer
Swimming Men's 440 yard Freestyle,1904,Summer,St. Louis,1904 Summer
Athletics Men's 800 metres,1932,Summer,Los Angeles,1932 Summer
Athletics Men's Shot Put,1932,Summer,Los Angeles,1932 Summer
"Wrestling Men's Light-Flyweight, Greco-Roman",1992,Summer,Barcelona,1992 Summer
Golf Men's Individual,1900,Summer,Paris,1900 Summer
"Art Competitions Mixed Painting, Drawings And Water Colors",1936,Summer,Berlin,1936 Summer
Basque Pelota Men's Two-Man Teams With Cesta,1900,Summer,Paris,1900 Summer
"Equestrianism Mixed Jumping, Individual",1900,Summer,Paris,1900 Summer
"Shooting Men's Trap, Single Shot, 16 metres",1906,Summer,Athina,1906 Summer
"Shooting Men's Trap, Double Shot, 14 metres",1906,Summer,Athina,1906 Summer
"Art Competitions Mixed Literature, Dramatic Works",1928,Summer,Amsterdam,1928 Summer
Tennis Men's Singles,1900,Summer,Paris,1900 Summer
Tennis Men's Doubles,1900,Summer,Paris,1900 Summer
Weightlifting Men's Featherweight,1920,Summer,Antwerpen,1920 Summer
Swimming Women's 100 metres Backstroke,1952,Summer,Helsinki,1952 Summer
Sailing Mixed 8 metres,1920,Summer,Antwerpen,1920 Summer
Boxing Men's Heavyweight,1936,Summer,Berlin,1936 Summer
Athletics Men's Long Jump,1904,Summer,St. Louis,1904 Summer
Equestrianism Mixed Long Jump,1900,Summer,Paris,1900 Summer
Tennis Women's Singles,1906,Summer,Athina,1906 Summer
Diving Men's Springboard,1932,Summer,Los Angeles,1932 Summer
Rowing Men's Single Sculls,1906,Summer,Athina,1906 Summer
Weightlifting Women's Super-Heavyweight,2004,Summer,Athina,2004 Summer
Athletics Women's Long Jump,2012,Summer,London,2012 Summer
Rowing Men's Single Sculls,1964,Summer,Tokyo,1964 Summer
"Canoeing Men's Folding Kayak Singles, 10 kilometres",1936,Summer,Berlin,1936 Summer
"Wrestling Men's Bantamweight, Freestyle",1932,Summer,Los Angeles,1932 Summer
Rowing Men's Single Sculls,1980,Summer,Moskva,1980 Summer
Athletics Men's Standing High Jump,1906,Summer,Athina,1906 Summer
"Fencing Men's Foil, Team",1904,Summer,St. Louis,1904 Summer
"Canoeing Men's Kayak Singles, 500 metres",1976,Summer,Montreal,1976 Summer
"Wrestling Men's Heavyweight, Greco-Roman",1964,Summer,Tokyo,1964 Summer
"Wrestling Men's Super-Heavyweight, Freestyle",1972,Summer,Munich,1972 Summer
"Wrestling Men's Heavyweight, Freestyle",1904,Summer,St. Louis,1904 Summer
Weightlifting Women's Light-Heavyweight,2000,Summer,Sydney,2000 Summer
"Wrestling Men's Heavyweight, Greco-Roman",1932,Summer,Los Angeles,1932 Summer
"Equestrianism Mixed Dressage, Individual",1980,Summer,Moskva,1980 Summer
"Equestrianism Mixed Dressage, Team",1980,Summer,Moskva,1980 Summer
"Shooting Men's Free Pistol, 30 metres",1896,Summer,Athina,1896 Summer
"Shooting Men's Military Pistol, 25 metres",1896,Summer,Athina,1896 Summer
Rowing Men's Single Sculls,1932,Summer,Los Angeles,1932 Summer
Weightlifting Women's Flyweight,2000,Summer,Sydney,2000 Summer
"Canoeing Men's Canadian Doubles, 10,000 metres",1948,Summer,London,1948 Summer
Swimming Men's 100 metres Freestyle For Sailors,1896,Summer,Athina,1896 Summer
Archery Men's Sur La Perche a La Herse,1900,Summer,Paris,1900 Summer
Weightlifting Men's Heavyweight II,1980,Summer,Moskva,1980 Summer
Weightlifting Men's Heavyweight,1968,Summer,Mexico City,1968 Summer
Sailing Mixed 3-10 Ton,1900,Summer,Paris,1900 Summer
Weightlifting Men's Light-Heavyweight,1932,Summer,Los Angeles,1932 Summer
Rowing Men's Single Sculls,1904,Summer,St. Louis,1904 Summer
"Gymnastics Men's Individual All-Around, 4 Events",1904,Summer,St. Louis,1904 Summer
Gymnastics Men's Parallel Bars,1904,Summer,St. Louis,1904 Summer
Weightlifting Men's Heavyweight,1928,Summer,Amsterdam,1928 Summer
Weightlifting Men's Heavyweight,1932,Summer,Los Angeles,1932 Summer
Athletics Men's 110 metres Hurdles,1906,Summer,Athina,1906 Summer
Rowing Men's Coxless Pairs,1908,Summer,London,1908 Summer
Weightlifting Men's Lightweight,1932,Summer,Los Angeles,1932 Summer
"Canoeing Men's Canadian Singles, 1,000 metres",1980,Summer,Moskva,1980 Summer
Alpinism Mixed Alpinism,1936,Summer,Berlin,1936 Summer
Athletics Women's Javelin Throw,1984,Summer,Los Angeles,1984 Summer
"Art Competitions Mixed Music, Compositions For Orchestra",1936,Summer,Berlin,1936 Summer
"Art Competitions Mixed Literature, Epic Works",1936,Summer,Berlin,1936 Summer
"Wrestling Men's Featherweight, Greco-Roman",1932,Summer,Los Angeles,1932 Summer
"Athletics Men's 3,000 metres Walk",1906,Summer,Athina,1906 Summer
"Wrestling Men's Flyweight, Greco-Roman",1988,Summer,Seoul,1988 Summer
"Shooting Men's Running Target, Single Shot, Team",1908,Summer,London,1908 Summer
"Weightlifting Men's Unlimited, One Hand",1896,Summer,Athina,1896 Summer
"Weightlifting Men's Unlimited, Two Hands",1896,Summer,Athina,1896 Summer
"Wrestling Men's Unlimited Class, Greco-Roman",1896,Summer,Athina,1896 Summer
"Wrestling Men's Featherweight, Freestyle",1956,Summer,Melbourne,1956 Summer
"Canoeing Men's Canadian Singles, 1,000 metres",1964,Summer,Tokyo,1964 Summer
Diving Men's Synchronized Platform,2000,Summer,Sydney,2000 Summer
"Wrestling Men's Lightweight, Freestyle",1904,Summer,St. Louis,1904 Summer
Athletics Men's Triple Jump,1904,Summer,St. Louis,1904 Summer
Athletics Men's Hammer Throw,1924,Summer,Paris,1924 Summer
"Wrestling Women's Middleweight, Freestyle",2004,Summer,Athina,2004 Summer
Diving Women's Synchronized Springboard,2004,Summer,Athina,2004 Summer
Swimming Women's 200 metres Breaststroke,1956,Summer,Melbourne,1956 Summer
"Wrestling Men's Middleweight, Freestyle",1936,Summer,Berlin,1936 Summer
Athletics Men's Standing Triple Jump,1904,Summer,St. Louis,1904 Summer
Gymnastics Men's Horse Vault,1904,Summer,St. Louis,1904 Summer
Gymnastics Men's Horizontal Bar,1904,Summer,St. Louis,1904 Summer
Gymnastics Men's Rope Climbing,1904,Summer,St. Louis,1904 Summer
Gymnastics Men's Side Horse,1904,Summer,St. Louis,1904 Summer
"Wrestling Men's Heavyweight, Greco-Roman",1952,Summer,Helsinki,1952 Summer
Cycling Women's Sprint,1988,Summer,Seoul,1988 Summer
"Wrestling Men's Heavyweight, Greco-Roman",1948,Summer,London,1948 Summer
"Art Competitions Mixed Literature, Lyric Works",1936,Summer,Berlin,1936 Summer
Athletics Women's Discus Throw,1936,Summer,Berlin,1936 Summer
"Shooting Mixed Rapid-Fire Pistol, 25 metres",1980,Summer,Moskva,1980 Summer
Motorboating Mixed B-Class (Under 60 Feet),1908,Summer,London,1908 Summer
Motorboating Mixed C-Class,1908,Summer,London,1908 Summer
Rowing Men's Single Sculls,1960,Summer,Roma,1960 Summer
Boxing Men's Bantamweight,1904,Summer,St. Louis,1904 Summer
"Wrestling Men's Lightweight, Freestyle",1976,Summer,Montreal,1976 Summer
Cycling Men's Sprint,1896,Summer,Athina,1896 Summer
"Cycling Men's 10,000 metres",1896,Summer,Athina,1896 Summer
Athletics Men's Hammer Throw,1900,Summer,Paris,1900 Summer
Boxing Men's Heavyweight,1928,Summer,Amsterdam,1928 Summer
"Art Competitions Mixed Sculpturing, Reliefs",1948,Summer,London,1948 Summer
Boxing Men's Welterweight,1904,Summer,St. Louis,1904 Summer
Shooting Women's Double Trap,2000,Summer,Sydney,2000 Summer
"Wrestling Men's Welterweight, Freestyle",1932,Summer,Los Angeles,1932 Summer
"Wrestling Women's Lightweight, Freestyle",2004,Summer,Athina,2004 Summer
"Wrestling Men's Bantamweight, Freestyle",1928,Summer,Amsterdam,1928 Summer
Athletics Men's Pole Vault,1920,Summer,Antwerpen,1920 Summer
Rowing Men's Single Sculls,1956,Summer,Melbourne,1956 Summer
Weightlifting Men's Middleweight,1932,Summer,Los Angeles,1932 Summer
"Shooting Men's Muzzle-Loading Pistol, 25 metres",1896,Summer,Athina,1896 Summer
"Art Competitions Mixed Sculpturing, Reliefs",1936,Summer,Berlin,1936 Summer
Boxing Men's Heavyweight,1964,Summer,Tokyo,1964 Summer
"Art Competitions Mixed Music, Instrumental And Chamber",1928,Summer,Amsterdam,1928 Summer
"Wrestling Men's Featherweight, Greco-Roman",1980,Summer,Moskva,1980 Summer
Athletics Men's Shot Put,1952,Summer,Helsinki,1952 Summer
"Fencing Men's epee, Masters, Individual",1906,Summer,Athina,1906 Summer
Equestrianism Mixed High Jump,1900,Summer,Paris,1900 Summer
Athletics Men's Discus Throw,1896,Summer,Athina,1896 Summer
"Wrestling Women's Heavyweight, Freestyle",2004,Summer,Athina,2004 Summer
"Canoeing Women's Kayak Singles, 500 metres",1972,Summer,Munich,1972 Summer
Cycling Women's Keirin,2012,Summer,London,2012 Summer
"Art Competitions Mixed Music, Compositions For Solo Or Chorus",1936,Summer,Berlin,1936 Summer
"Fencing Men's Sabre, Individual",1896,Summer,Athina,1896 Summer
"Canoeing Men's Kayak Singles, 1,000 metres",1964,Summer,Tokyo,1964 Summer
Boxing Men's Featherweight,1904,Summer,St. Louis,1904 Summer
Judo Women's Half-Lightweight,1996,Summer,Atlanta,1996 Summer
Gymnastics Men's Rings,1904,Summer,St. Louis,1904 Summer
Archery Men's Sur La Perche a La Pyramide,1900,Summer,Paris,1900 Summer
"Wrestling Men's Lightweight, Greco-Roman",1984,Summer,Los Angeles,1984 Summer
Cycling Women's Sprint,2008,Summer,Beijing,2008 Summer
"Fencing Men's Single Sticks, Individual",1904,Summer,St. Louis,1904 Summer
Figure Skating Women's Singles,1908,Summer,London,1908 Summer
"Wrestling Women's Middleweight, Freestyle",2016,Summer,Rio de Janeiro,2016 Summer
Gymnastics Men's Tumbling,1932,Summer,Los Angeles,1932 Summer
"Wrestling Men's Light-Heavyweight, Greco-Roman",1932,Summer,Los Angeles,1932 Summer
Art Competitions Mixed Painting,1912,Summer,Stockholm,1912 Summer
Figure Skating Women's Singles,1920,Summer,Antwerpen,1920 Summer
Boxing Men's Bantamweight,1932,Summer,Los Angeles,1932 Summer
"Wrestling Men's Welterweight, Freestyle",1992,Summer,Barcelona,1992 Summer
Shooting Men's Unknown Event,1920,Summer,Antwerpen,1920 Summer
Athletics Men's High Jump,1932,Summer,Los Angeles,1932 Summer
Sailing Mixed 18 foot,1920,Summer,Antwerpen,1920 Summer
Archery Men's Unknown Event,1900,Summer,Paris,1900 Summer
"Archery Men's Au Chapelet, 50 metres",1900,Summer,Paris,1900 Summer
"Wrestling Men's Light-Heavyweight, Greco-Roman",1968,Summer,Mexico City,1968 Summer
Gymnastics Men's Club Swinging,1904,Summer,St. Louis,1904 Summer
Archery Men's Championnat Du Monde,1900,Summer,Paris,1900 Summer
"Wrestling Men's Middleweight, Freestyle",1932,Summer,Los Angeles,1932 Summer
Athletics Men's 400 metres Hurdles,1904,Summer,St. Louis,1904 Summer
"Wrestling Men's Heavyweight, Freestyle",1932,Summer,Los Angeles,1932 Summer
Rowing Men's Double Sculls,1904,Summer,St. Louis,1904 Summer
Athletics Men's 60 metres,1900,Summer,Paris,1900 Summer
Archery Women's Team Round,1904,Summer,St. Louis,1904 Summer
"Art Competitions Mixed Painting, Graphic Arts",1936,Summer,Berlin,1936 Summer
"Wrestling Men's All-Around, Greco-Roman",1906,Summer,Athina,1906 Summer
"Weightlifting Men's Unlimited, Two Hands",1904,Summer,St. Louis,1904 Summer
Boxing Men's Light-Middleweight,1956,Summer,Melbourne,1956 Summer
Cycling Men's 12-Hours Race,1896,Summer,Athina,1896 Summer
Swimming Men's 500 metres Freestyle,1896,Summer,Athina,1896 Summer
"Art Competitions Mixed Sculpturing, Medals And Reliefs",1932,Summer,Los Angeles,1932 Summer
"Art Competitions Mixed Architecture, Designs For Town Planning",1948,Summer,London,1948 Summer
Weightlifting Men's All-Around Dumbbell Contest,1904,Summer,St. Louis,1904 Summer
"Wrestling Men's Lightweight, Greco-Roman",1932,Summer,Los Angeles,1932 Summer
Weightlifting Women's Featherweight,2004,Summer,Athina,2004 Summer
Athletics Men's 400 metres Hurdles,1900,Summer,Paris,1900 Summer
Athletics Men's 56-pound Weight Throw,1920,Summer,Antwerpen,1920 Summer
"Wrestling Men's Heavyweight, Freestyle",1920,Summer,Antwerpen,1920 Summer
"Wrestling Men's Light-Heavyweight, Freestyle",1932,Summer,Los Angeles,1932 Summer
Boxing Men's Middleweight,1904,Summer,St. Louis,1904 Summer
Art Competitions Mixed Music,1920,Summer,Antwerpen,1920 Summer
"Fencing Men's Foil, Masters, Individual",1896,Summer,Athina,1896 Summer
"Archery Men's Au Chapelet, 33 metres",1900,Summer,Paris,1900 Summer
"Archery Men's Au Cordon Dore, 33 metres",1900,Summer,Paris,1900 Summer
"Archery Men's Target Archery, 28 metres, Individual",1920,Summer,Antwerpen,1920 Summer
"Fencing Men's Sabre, Masters, Individual",1906,Summer,Athina,1906 Summer
Alpinism Mixed Alpinism,1932,Summer,Los Angeles,1932 Summer
Aeronautics Mixed Aeronautics,1936,Summer,Berlin,1936 Summer
Art Competitions Mixed Architecture,1920,Summer,Antwerpen,1920 Summer
Women's Road Race,2020,Summer,Tokyo,2020 Summer
Women's Individual Time Trial,2020,Summer,Tokyo,2020 Summer
Men's All-Around,2020,Summer,Tokyo,2020 Summer
Men's Floor Exercise,2020,Summer,Tokyo,2020 Summer
Men's Pommel Horse,2020,Summer,Tokyo,2020 Summer
Men's Rings,2020,Summer,Tokyo,2020 Summer
Men's Vault,2020,Summer,Tokyo,2020 Summer
Men's Parallel Bars,2020,Summer,Tokyo,2020 Summer
Men's Horizontal Bar,2020,Summer,Tokyo,2020 Summer
Men's Team,2020,Summer,Tokyo,2020 Summer
Men's Pair Team,2020,Summer,Tokyo,2020 Summer
Men Team,2020,Summer,Tokyo,2020 Summer
Women Team,2020,Summer,Tokyo,2020 Summer
Lightweight Men's Double Sculls Team,2020,Summer,Tokyo,2020 Summer
Men's 100m Breaststroke,2020,Summer,Tokyo,2020 Summer
Women's Kumite +61kg,2020,Summer,Tokyo,2020 Summer
Men's Greco-Roman 87kg,2020,Summer,Tokyo,2020 Summer
Group All-Around Team,2020,Summer,Tokyo,2020 Summer
Softball Team,2020,Summer,Tokyo,2020 Summer
Men's 800m,2020,Summer,Tokyo,2020 Summer
Men -73 kg,2020,Summer,Tokyo,2020 Summer
10m Air Pistol Women,2020,Summer,Tokyo,2020 Summer
10m Air Pistol Mixed Team,2020,Summer,Tokyo,2020 Summer
10m Air Pistol Men,2020,Summer,Tokyo,2020 Summer
Men -81 kg,2020,Summer,Tokyo,2020 Summer
Men's Kumite -75kg,2020,Summer,Tokyo,2020 Summer
Women's Team,2020,Summer,Tokyo,2020 Summer
Men -66 kg,2020,Summer,Tokyo,2020 Summer
Men's Freestyle 125kg,2020,Summer,Tokyo,2020 Summer
Men's Javelin Throw,2020,Summer,Tokyo,2020 Summer
Women -49kg,2020,Summer,Tokyo,2020 Summer
Men's 3000m Steeplechase,2020,Summer,Tokyo,2020 Summer
Men's Marathon,2020,Summer,Tokyo,2020 Summer
Women's All-Around,2020,Summer,Tokyo,2020 Summer
Women's Vault,2020,Summer,Tokyo,2020 Summer
Women's Uneven Bars,2020,Summer,Tokyo,2020 Summer
Women's Balance Beam,2020,Summer,Tokyo,2020 Summer
Women's Floor Exercise,2020,Summer,Tokyo,2020 Summer
Women's Épée Individual,2020,Summer,Tokyo,2020 Summer
Women's Singles,2020,Summer,Tokyo,2020 Summer
Men's Heavy (81-91kg),2020,Summer,Tokyo,2020 Summer
Men's Freestyle 57kg,2020,Summer,Tokyo,2020 Summer
Men's Greco-Roman 130kg,2020,Summer,Tokyo,2020 Summer
Men's 73kg,2020,Summer,Tokyo,2020 Summer
Men's Super Heavy (+91kg),2020,Summer,Tokyo,2020 Summer
Men's Individual,2020,Summer,Tokyo,2020 Summer
Men's Light (57-63kg),2020,Summer,Tokyo,2020 Summer
Men's Freestyle 74kg,2020,Summer,Tokyo,2020 Summer
Mixed Team,2020,Summer,Tokyo,2020 Summer
Men's 400m Hurdles,2020,Summer,Tokyo,2020 Summer
Women -52 kg,2020,Summer,Tokyo,2020 Summer
Women's 3000m Steeplechase,2020,Summer,Tokyo,2020 Summer
Men's Sabre Individual,2020,Summer,Tokyo,2020 Summer
Men's Sabre Team,2020,Summer,Tokyo,2020 Summer
Women's 3m Springboard,2020,Summer,Tokyo,2020 Summer
Women's Synchronised 3m Springboard Team,2020,Summer,Tokyo,2020 Summer
Men's Singles,2020,Summer,Tokyo,2020 Summer
Men's 100m Freestyle,2020,Summer,Tokyo,2020 Summer
Women's Skiff - 49er  Team,2020,Summer,Tokyo,2020 Summer
Men's 5000m,2020,Summer,Tokyo,2020 Summer
Women's 100m,2020,Summer,Tokyo,2020 Summer
Men's Foil Individual,2020,Summer,Tokyo,2020 Summer
Men's Foil Team,2020,Summer,Tokyo,2020 Summer
Women's 76kg,2020,Summer,Tokyo,2020 Summer
Women's 400m,2020,Summer,Tokyo,2020 Summer
Men's Shot Put,2020,Summer,Tokyo,2020 Summer
Men,2020,Summer,Tokyo,2020 Summer
Men's 10km,2020,Summer,Tokyo,2020 Summer
Women's Single Sculls,2020,Summer,Tokyo,2020 Summer
Men's 1500m Freestyle,2020,Summer,Tokyo,2020 Summer
Men's 4 x 400m Relay Team,2020,Summer,Tokyo,2020 Summer
4 x 400m Relay Mixed Team,2020,Summer,Tokyo,2020 Summer
Mixed 4 x 100m Medley Relay Team,2020,Summer,Tokyo,2020 Summer
Men -68kg,2020,Summer,Tokyo,2020 Summer
Mixed Doubles Team,2020,Summer,Tokyo,2020 Summer
Skeet Men,2020,Summer,Tokyo,2020 Summer
Men's Greco-Roman 97kg,2020,Summer,Tokyo,2020 Summer
Men's 4 x 100m Freestyle Relay Team,2020,Summer,Tokyo,2020 Summer
Women's Individual,2020,Summer,Tokyo,2020 Summer
Women +67kg,2020,Summer,Tokyo,2020 Summer
Men's 800m Freestyle,2020,Summer,Tokyo,2020 Summer
Men's Kayak,2020,Summer,Tokyo,2020 Summer
Men's Eight Team,2020,Summer,Tokyo,2020 Summer
Women's 4 x 100m Relay Team,2020,Summer,Tokyo,2020 Summer
Women -57kg,2020,Summer,Tokyo,2020 Summer
Women's 100m Breaststroke,2020,Summer,Tokyo,2020 Summer
