event_name,Year,Season,City,Games
Weightlifting Men's Featherweight,1964,Summer,Tokyo,1964 Summer
Athletics Men's 400 metres,1988,Summer,Seoul,1988 Summer
Athletics Men's 800 metres,1988,Summer,Seoul,1988 Summer
"Cycling Men's Road Race, Individual",2000,Summer,Sydney,2000 Summer
Diving Men's Platform,1952,Summer,Helsinki,1952 Summer
Swimming Men's 100 metres Freestyle,2004,Summer,Athina,2004 Summer
Weightlifting Men's Middleweight,2004,Summer,Athina,2004 Summer
Hockey Men's Hockey,2000,Summer,Sydney,2000 Summer
Hockey Men's Hockey,2004,Summer,Athina,2004 Summer
Hockey Men's Hockey,2012,Summer,London,2012 Summer
Basketball Men's Basketball,1952,Summer,Helsinki,1952 Summer
Hockey Men's Hockey,1984,Summer,Los Angeles,1984 Summer
Hockey Men's Hockey,2008,Summer,Beijing,2008 Summer
Rowing Women's Single Sculls,2012,Summer,London,2012 Summer
Athletics Men's 100 metres,2008,Summer,Beijing,2008 Summer
Swimming Men's 50 metres Freestyle,2008,Summer,Beijing,2008 Summer
Weightlifting Women's Featherweight,2000,Summer,Sydney,2000 Summer
Water Polo Women's Water Polo,2012,Summer,London,2012 Summer
Gymnastics Men's Individual All-Around,1900,Summer,Paris,1900 Summer
Handball Women's Handball,2016,Summer,Rio de Janeiro,2016 Summer
Basketball Men's Basketball,2000,Summer,Sydney,2000 Summer
Weightlifting Men's Heavyweight,2016,Summer,Rio de Janeiro,2016 Summer
Football Men's Football,1906,Summer,Athina,1906 Summer
Sailing Mixed Three Person Keelboat,1996,Summer,Atlanta,1996 Summer
Sailing Mixed Three Person Keelboat,2000,Summer,Sydney,2000 Summer
"Equestrianism Mixed Three-Day Event, Individual",2016,Summer,Rio de Janeiro,2016 Summer
"Equestrianism Mixed Three-Day Event, Team",2016,Summer,Rio de Janeiro,2016 Summer
"Athletics Men's 5,000 metres",1928,Summer,Amsterdam,1928 Summer
"Canoeing Men's Canadian Doubles, 1,000 metres",1976,Summer,Montreal,1976 Summer
Sailing Women's Three Person Keelboat,2008,Summer,Beijing,2008 Summer
"Cycling Women's Road Race, Individual",2016,Summer,Rio de Janeiro,2016 Summer
Golf Women's Individual,1900,Summer,Paris,1900 Summer
Softball Women's Softball,2008,Summer,Beijing,2008 Summer
Archery Women's Individual,2008,Summer,Beijing,2008 Summer
"Wrestling Men's Heavyweight, Greco-Roman",2012,Summer,London,2012 Summer
Volleyball Men's Volleyball,2008,Summer,Beijing,2008 Summer
Taekwondo Women's Heavyweight,2008,Summer,Beijing,2008 Summer
Synchronized Swimming Women's Duet,2008,Summer,Beijing,2008 Summer
Synchronized Swimming Women's Team,2008,Summer,Beijing,2008 Summer
Synchronized Swimming Women's Team,2012,Summer,London,2012 Summer
"Athletics Men's 5,000 metres",2008,Summer,Beijing,2008 Summer
Volleyball Men's Volleyball,2016,Summer,Rio de Janeiro,2016 Summer
Handball Men's Handball,1992,Summer,Barcelona,1992 Summer
Handball Men's Handball,1996,Summer,Atlanta,1996 Summer
Gymnastics Men's Individual All-Around,1960,Summer,Roma,1960 Summer
Gymnastics Men's Team All-Around,1960,Summer,Roma,1960 Summer
Gymnastics Men's Floor Exercise,1960,Summer,Roma,1960 Summer
Gymnastics Men's Horse Vault,1960,Summer,Roma,1960 Summer
Gymnastics Men's Parallel Bars,1960,Summer,Roma,1960 Summer
Gymnastics Men's Horizontal Bar,1960,Summer,Roma,1960 Summer
Gymnastics Men's Rings,1960,Summer,Roma,1960 Summer
Gymnastics Men's Pommelled Horse,1960,Summer,Roma,1960 Summer
"Fencing Men's Foil, Individual",1992,Summer,Barcelona,1992 Summer
Taekwondo Women's Featherweight,2004,Summer,Athina,2004 Summer
Athletics Men's Marathon,1964,Summer,Tokyo,1964 Summer
Athletics Men's 4 x 400 metres Relay,1972,Summer,Munich,1972 Summer
"Athletics Men's 10,000 metres",1952,Summer,Helsinki,1952 Summer
"Athletics Women's 3,000 metres",1984,Summer,Los Angeles,1984 Summer
Diving Women's Platform,2016,Summer,Rio de Janeiro,2016 Summer
Volleyball Men's Volleyball,2000,Summer,Sydney,2000 Summer
"Shooting Men's Air Rifle, 10 metres",2000,Summer,Sydney,2000 Summer
Football Men's Football,1972,Summer,Munich,1972 Summer
Athletics Men's Marathon,1952,Summer,Helsinki,1952 Summer
Athletics Men's Long Jump,1960,Summer,Roma,1960 Summer
Boxing Men's Featherweight,1960,Summer,Roma,1960 Summer
Boxing Men's Lightweight,1968,Summer,Mexico City,1968 Summer
Athletics Men's 200 metres,1972,Summer,Munich,1972 Summer
Synchronized Swimming Women's Duet,2000,Summer,Sydney,2000 Summer
Synchronized Swimming Women's Duet,2004,Summer,Athina,2004 Summer
Hockey Men's Hockey,1992,Summer,Barcelona,1992 Summer
Rowing Men's Coxed Eights,1960,Summer,Roma,1960 Summer
Water Polo Men's Water Polo,2004,Summer,Athina,2004 Summer
"Fencing Men's Foil, Individual",1948,Summer,London,1948 Summer
"Fencing Men's Foil, Team",1948,Summer,London,1948 Summer
"Fencing Men's epee, Team",1948,Summer,London,1948 Summer
"Fencing Men's Foil, Team",1952,Summer,Helsinki,1952 Summer
"Fencing Men's epee, Team",1952,Summer,Helsinki,1952 Summer
Water Polo Men's Water Polo,1960,Summer,Roma,1960 Summer
Weightlifting Men's Flyweight,1976,Summer,Montreal,1976 Summer
Volleyball Men's Volleyball,1984,Summer,Los Angeles,1984 Summer
Boxing Men's Featherweight,1968,Summer,Mexico City,1968 Summer
"Wrestling Men's Featherweight, Freestyle",1948,Summer,London,1948 Summer
Football Men's Football,1992,Summer,Barcelona,1992 Summer
Basketball Men's Basketball,1972,Summer,Munich,1972 Summer
Water Polo Men's Water Polo,1948,Summer,London,1948 Summer
Swimming Men's 100 metres Freestyle,1948,Summer,London,1948 Summer
Swimming Men's 100 metres Backstroke,1948,Summer,London,1948 Summer
Water Polo Men's Water Polo,1952,Summer,Helsinki,1952 Summer
Swimming Men's 100 metres Freestyle,1952,Summer,Helsinki,1952 Summer
Athletics Men's 100 metres,1960,Summer,Roma,1960 Summer
Weightlifting Men's Light-Heavyweight,1952,Summer,Helsinki,1952 Summer
Weightlifting Men's Light-Heavyweight,1960,Summer,Roma,1960 Summer
Handball Men's Handball,1976,Summer,Montreal,1976 Summer
"Wrestling Men's Lightweight, Greco-Roman",1988,Summer,Seoul,1988 Summer
Basketball Men's Basketball,1984,Summer,Los Angeles,1984 Summer
Basketball Men's Basketball,1988,Summer,Seoul,1988 Summer
Basketball Men's Basketball,1976,Summer,Montreal,1976 Summer
Athletics Men's 400 metres,1996,Summer,Atlanta,1996 Summer
Rowing Men's Coxed Eights,1964,Summer,Tokyo,1964 Summer
Water Polo Men's Water Polo,1964,Summer,Tokyo,1964 Summer
"Fencing Men's Sabre, Individual",1936,Summer,Berlin,1936 Summer
"Fencing Men's epee, Individual",1948,Summer,London,1948 Summer
"Fencing Men's epee, Individual",1952,Summer,Helsinki,1952 Summer
"Fencing Men's Sabre, Individual",1952,Summer,Helsinki,1952 Summer
"Fencing Men's Sabre, Team",1952,Summer,Helsinki,1952 Summer
Boxing Men's Welterweight,1952,Summer,Helsinki,1952 Summer
"Fencing Men's Foil, Team",1960,Summer,Roma,1960 Summer
"Fencing Men's Foil, Individual",1964,Summer,Tokyo,1964 Summer
"Fencing Men's Foil, Team",1964,Summer,Tokyo,1964 Summer
"Wrestling Men's Super-Heavyweight, Greco-Roman",2008,Summer,Beijing,2008 Summer
"Shooting Men's Free Pistol, 50 metres",2008,Summer,Beijing,2008 Summer
"Shooting Men's Air Pistol, 10 metres",2016,Summer,Rio de Janeiro,2016 Summer
"Shooting Men's Free Pistol, 50 metres",2016,Summer,Rio de Janeiro,2016 Summer
"Fencing Men's epee, Team",2004,Summer,Athina,2004 Summer
Rowing Men's Coxless Fours,2000,Summer,Sydney,2000 Summer
Boxing Men's Light-Flyweight,2000,Summer,Sydney,2000 Summer
Boxing Men's Super-Heavyweight,2000,Summer,Sydney,2000 Summer
Boxing Men's Light-Flyweight,1976,Summer,Montreal,1976 Summer
"Wrestling Men's Flyweight, Greco-Roman",1948,Summer,London,1948 Summer
"Shooting Women's Air Rifle, 10 metres",2004,Summer,Athina,2004 Summer
"Shooting Women's Air Rifle, 10 metres",2008,Summer,Beijing,2008 Summer
"Shooting Women's Air Rifle, 10 metres",2016,Summer,Rio de Janeiro,2016 Summer
